id,id_passenger,date_created,date_close
7251342043,553915601,2021-07-29T18:42:34.934Z,2021-07-30T06:23:43.403Z
7251051783,1423769552,2021-07-29T17:36:38.031Z,2021-07-30T06:24:05.021Z
7250949019,1411045469,2021-07-29T17:15:37.619Z,2021-07-30T06:19:30.821Z
7248907079,787951733,2021-07-29T08:57:28.205Z,2021-07-30T06:27:58.403Z
7251496074,464698946,2021-07-29T19:25:06.647Z,2021-07-30T06:33:43.402Z
7250975676,301606544,2021-07-29T17:20:44.927Z,2021-07-30T06:22:42.193Z
7250956977,417767354,2021-07-29T17:17:11.890Z,2021-07-30T06:21:00.675Z
7251429811,1522898080,2021-07-29T19:06:32.810Z,2021-07-30T08:26:47.554Z
7251451040,484736937,2021-07-29T19:12:26.686Z,2021-07-30T08:26:09.838Z
7251125038,1392768312,2021-07-29T17:51:38.571Z,2021-07-30T07:32:48.130Z
7248986314,9169341,2021-07-29T09:20:27.830Z,2021-07-30T08:16:34.068Z
7249043722,1275615535,2021-07-29T09:37:29.006Z,2021-07-30T08:54:35.596Z
7249388446,1522772201,2021-07-29T11:17:00.448Z,2021-07-30T07:01:22.098Z
7250843771,1522989459,2021-07-29T16:54:53.755Z,2021-07-30T08:58:24.805Z
7249699544,1522688389,2021-07-29T12:41:18.947Z,2021-07-30T08:33:02.729Z
7249166335,529924232,2021-07-29T10:13:29.978Z,2021-07-30T08:59:42.954Z
7248901835,615158966,2021-07-29T08:56:02.888Z,2021-07-30T09:01:49.768Z
7248691201,1508523793,2021-07-29T07:58:21.943Z,2021-07-30T09:01:14.992Z
7251416080,534831627,2021-07-29T19:02:44.515Z,2021-07-30T09:04:43.469Z
7251468037,405132787,2021-07-29T19:17:13.354Z,2021-07-30T09:08:24.662Z
7251407064,784373117,2021-07-29T19:00:13.288Z,2021-07-30T09:06:43.629Z
7249794994,1518539741,2021-07-29T13:05:14.203Z,2021-07-30T06:48:17.861Z
7251241119,1489479701,2021-07-29T18:17:32.503Z,2021-07-30T07:03:57.949Z
7251455088,1393594541,2021-07-29T19:13:40.173Z,2021-07-30T06:45:54.282Z
7250868841,1408428276,2021-07-29T16:59:55.238Z,2021-07-30T06:43:13.892Z
7250874338,1400369421,2021-07-29T17:00:54.096Z,2021-07-30T07:07:37.563Z
7251062524,464909810,2021-07-29T17:38:47.851Z,2021-07-30T06:59:59.524Z
7248288448,112291497,2021-07-29T06:15:39.064Z,2021-07-30T07:05:21.080Z
7251239072,1519572556,2021-07-29T18:17:01.922Z,2021-07-30T06:58:08.624Z
7250026535,190721819,2021-07-29T14:00:53.040Z,2021-07-30T06:47:19.015Z
7251372012,451534528,2021-07-29T18:50:30.139Z,2021-07-30T06:58:25.012Z
7249950083,1519438374,2021-07-29T13:42:19.787Z,2021-07-30T07:02:14.506Z
7248279777,1238813856,2021-07-29T06:13:06.441Z,2021-07-30T07:08:28.841Z
7250725781,558845927,2021-07-29T16:31:52.940Z,2021-07-30T06:51:14.882Z
7250803889,335413278,2021-07-29T16:46:50.076Z,2021-07-30T09:04:56.079Z
7250513100,12830182,2021-07-29T15:49:03.839Z,2021-07-30T09:13:46.721Z
7251347310,584147307,2021-07-29T18:44:02.250Z,2021-07-30T09:20:42.326Z
7249895872,1381870521,2021-07-29T13:30:28.462Z,2021-07-30T09:18:25.941Z
7251484068,332829228,2021-07-29T19:21:32.921Z,2021-07-30T09:22:30.891Z
7250994306,1513766045,2021-07-29T17:24:33.756Z,2021-07-30T07:41:26.430Z
7251178559,1433127125,2021-07-29T18:03:39.407Z,2021-07-30T08:16:26.864Z
7251434802,1401331741,2021-07-29T19:07:59.017Z,2021-07-30T09:27:44.117Z
7249125556,1168635773,2021-07-29T10:01:45.513Z,2021-07-30T09:18:18.255Z
7250226198,1405961986,2021-07-29T14:47:46.429Z,2021-07-30T09:33:55.183Z
7250753381,754105462,2021-07-29T16:37:11.860Z,2021-07-30T09:30:06.045Z
7250828729,1517666868,2021-07-29T16:51:48.294Z,2021-07-30T09:37:59.077Z
7251194337,1399555083,2021-07-29T18:07:11.329Z,2021-07-30T08:22:42.367Z
7249097657,497503386,2021-07-29T09:53:16.601Z,2021-07-30T08:24:39.077Z
7250798231,1522975452,2021-07-29T16:45:41.839Z,2021-07-30T09:41:49.288Z
7250363347,1427862517,2021-07-29T15:18:01.112Z,2021-07-30T07:16:31.174Z
7248748379,1258451417,2021-07-29T08:14:24.873Z,2021-07-30T07:25:02.565Z
7250549808,545436122,2021-07-29T15:56:41.935Z,2021-07-30T07:32:27.433Z
7249010855,463346293,2021-07-29T09:27:35.792Z,2021-07-30T07:14:52.887Z
7250059517,1416507302,2021-07-29T14:08:52.459Z,2021-07-30T07:14:12.787Z
7251035384,463664751,2021-07-29T17:33:11.877Z,2021-07-30T07:22:51.741Z
7251357177,1170030263,2021-07-29T18:46:38.261Z,2021-07-30T07:24:00.178Z
7250509098,1522957420,2021-07-29T15:48:15.352Z,2021-07-30T07:28:39.287Z
7249718266,1476186276,2021-07-29T12:45:51.030Z,2021-07-30T07:27:49.433Z
